name;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;type;price
Salade de thon et légumes;Carottes,thon,courgettes,oignons verts,riz;-;9,15;7,74;4,7;3,08;2,7;20,7;1,1;25,1;0,6;0,5;1,6;-;-;2,75;0,04;0,053;4,45;0,16;0,29;31;1,45;4,1;0,56;1,83;1,11;232;445;-;salade-de-thon.jpeg;220;Une délicieuse salade  au thon aux saveurs méditerranéenne une recette estivale .;;22.50
Salade composée avec viande;;-;8,06;6,4;5,3;1,9;2;22;0,7;20;0,38;0,44;2,04;9,75;-;-;0,032;0,022;4,13;0,2;0,12;11,1;1,23;3,3;0,16;3,27;0,95;220;381;30;;250;;;25
Champignons à la grecque;Pommes de terre,oeufs,tomate cerise,ciboulette;-;2,08;3,95;3,55;2,38;2,35;27;1,06;13,5;0,4;0;1,08;-;-;6,67;0,056;0,21;1,84;0,88;0,088;19,6;0,018;0,99;0,23;0,2;1,26;277;50;1,79;;230;;;22
Salade de pommes de terre, fait maison, végétarienne;;-;2,68;9,9;8,2;-;1,3;19;0,65;15;0,31;0;-;-;-;10;0,077;0,06;0,89;0,53;0,14;7;0;-;1,43;2,48;1,32;254;529;-;salade-de-pommes-de-terre.jpeg;260;C'est l'un des plats les plus populaires dans la cuisine allemande, autrichienne et slave.;vegetarian;21
Salade de couscous, végétarienne;Couscous moyen,tomate roma,oignons nouveaux,concombre,jus de citron ,Huile d'olive,Persil;179;4,88;23,7;6,7;4,9;2,5;24;0,88;25;0,65;0;1,26;10,6;-;6,27;0,087;0,024;0,5;0,26;0,052;14,5;0;17,7;0,67;4,23;1;210;399;020;salade-de-couscous.jpeg;210;Cette recette d’origine libanaise est parfaite en ballade, car elle ne coule pas, ne mouille pas la salade;vegetarian;30
Salade de pomme de terre à la piémontaise;Pommes de terre à chair,tomates fermes,jambon,oeufs durs,mayonnaise,cornichons,sel fin;130;4,5;8,87;8,3;1,2; 0,5;13;0,43;16;0,49;0,5;3,96;10,9;-;21,6;0,08;0,049;0,98;0,44;0,099;21,6;-;6;0,82;5,02;1,08;30;433;020;salade-piemontaise-de-pomme-de-terre.jpeg;215;Recette très savoureuse, vous découvrirez la salade de pommes de terre d'une manière différente;;24.40
Salade de riz;Riz,oeufs durs,thon,oeufs durs,maïs,tomates,poivron,vinaigrette;-;5,13;16,1;4,35;1;1,7;23,3;0,43;13,1;0,3;0,5;1,63;-;-;4,48;0,058;0,045;2,65;0,14;0,13;33,5;0,43;14,3;0,53;2,23;1,1;143;431;17,7;salade-de-riz.jpeg;225;Rien que des bonnes petites choses fraîches et savoureuses pour une salade composée au top !;;25.70
Salade de pâtes, végétarienne;Penne,avocat,tomates-cerises,tomates séchées marinées à l'huile d'olive,botte de basilic,pignons de pin grillés à sec,olives noires,feta;-;5,7;13,7;8,1;2,3;1,7;14;0,6;11;0,4;0;1,95;-;-;21;0,04;0,02;0,4;0;0,09;16;0;10;2,37;1,46;1,04;84;51;-;salade-de-pate-vegetarian.jpeg;252;Les salades de pâtes sont idéales en été. Elles sont savoureuses, variées et nourrissantes ;vegetarian;22.30
Salade de pâtes aux légumes, avec poisson ;;-;5,19;14;9,94;2,16;1,98;19;0,95;23,3;0,53;0,12;1,18;-;-;12,3;0,064;0,057;1,77;0,28;0,14;18,4;0,14;7,92;1,74;5,85;0,95;193;378;5,3;;216;;;19
Macédoine de légumes en salade;;-;2,81;7;9,3;2,3;4,11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,7;-;1,04;-;426;-;;310;;;28
Salade César au poulet;;-;8,13;4,88;10;1,71;2;10;0,5;19;0,69;0,25;2,24;32;-;1,11;0,096;0,068;2,29;0,47;0,094;29,3;0,48;3,17;2,36;4,99;0,75;30;301;020;;210;;;33
Carottes râpées, avec sauce;;-;0,98;6,01;5;5,2;3,64;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,43;2,53;0,67;-;264;-;;212;;;17.80
Salade de betterave, avec sauce;;-;1,29;7,45;4,94;5,3;2,66;21;4;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;0,37;1,79;0,7;-;280;-;;265;;;24.60
Salade de chou;;105;0,94;5,78;8,1;4,72;3;39;1,3;9,3;0,27;0,25;2,21;23;-;21,6;0,026;0,01;0,1;0,21;0,093;14,6;-;0,35;0,63;4,83;0,88;210;353;020;;264;;;23.90
Salade de concombre à la crème;;-;1,1;1,97;11,3;1,39;1,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,35;-;1,07;-;411;-;;244;;;30
Salade de lentilles et saucisse fumée;;-;7;8,9;11,8;0,9;3,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,9;-;0,89;-;355;-;;233;;;22
Salade grecque, avec sauce;;-;2;1,4;7,1;1,4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,7;-;1,04;-;416;-;;278;;;19
Salade de riz à la niçoise;;-;4,45;15,8;6,08;1,35;1,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,63;2,51;0,76;-;30;-;;267;;;24
Soupe aux lentilles;;55;3,74;6,6;1,12;0,7;1,8;25;1,07;19;0,61;-;0;-;-;1,7;0,07;0,045;0,55;0,14;0,09;20;0,12;-;0,45;0,52;0,36;144;143;16,1;;256;;;27
Soupe à la volaille et aux légumes;;30,8;3,09;2,6;0,8;1,2;0,4;-;-;-;-;-;-;-;-;-;-;-;1,9;-;-;-;0,11;-;0,3;-;1,75;-;70;-;;224;;;30
Soupe aux légumes variés;;39,4;0,76;5,05;1,56;1,72;1,1;14;0,14;5,3;0,11;0;0,62;2,53;-;5,75;0,29;0,062;0,31;0,33;0,16;39,8;0,052;2,2;0,55;0,5;0,69;110;275;020;;235;;;25
Soupe de poissons;;42,8;3,45;2,88;1,79;0,9;0,69;130;0,61;11;0,25;0,2;0,32;0,93;-;0,5;0,03;0,039;0,63;0,18;0,032;05;1,35;1,7;0,58;0,93;0,86;110;343;020;;254;;;40
Soupe aux poireaux et pommes de terre;;37,1;0,79;4,46;1,51;0,81;1,28;16;0,17;5,6;0,13;-;0,28;9,13;-;7,95;0,01;0,03;0,23;0,14;0,23;29,3;0,045;3,2;0,6;0,53;0,73;94;290;020;;264;;;44
Soupe à la volaille et aux vermicelles;;30,8;1,3;3,86;1;0,77;0,56;7,96;0,14;7,93;0,1;0;0,03;0;-;-;0,055;0,045;0,54;0,074;0,02;2;0,02;-;0,49;0,29;0,82;30,5;326;010;;262;;;33
Bouillon de viande et légumes;;4,8;0,2;0,1;0,4;0;0;1;0,1;2;-;-;-;-;-;0;0,06;0,01;0;0,02;0,01;12;0,05;0,1;0,2;0,09;1,08;15;430;0;;236;;;22
Pomme de terre, sans peau, rôtie au four;;215;3,25;19,6;13,4;1,5;1,7;26,4;0,6;13,8;0,26;0,14;7,7;-;-;8,8;0,08;0,06;1,06;0,49;0,19;21;0,09;15,9;-;-;1;252;40;1,5;pommes-de-terre-rotie.jpeg;30;C'est toujours aussi épate belle mère quand vous posez votre plat sur la table, et, bien sûr, aussi bon.;;23
Soupe aux champignons;;48,2;0,81;4,09;3,07;0,91;0,52;7;0,09;2;0,06;0,1;0,24;9,6;-;-;0,06;0,08;0,17;0,072;0,07;1;0;-;1,58;0,4;0,78;62;312;-;;264;;;25
Soupe à la carotte;;33,2;0,61;3,89;1,41;1,82;1,22;15;0,3;7;-;-;-;-;-;11;0,05;-;0,65;-;0,08;9;-;2,08;0,96;0,36;0,65;140;259;-;;256;;;28
Tripes à la mode de Caen;;116;20,4;0,3;3,68;traces;0;23;1,1;6,4;0,64;-;0,47;-;-;0;0,02;-;0,37;0,42;0,023;-;1,2;0,3;1,29;1,12;1,06;42,5;423;-;;256;;;33.40
Tripes à la mode de Caen;;112;18,4;0,7;3,62;0,5;1,25;23,6;0,9;6,6;2,1;-;-;-;-;-;-;-;-;-;-;-;-;-;2,1;-;1,03;34,6;421;-;;274;;;22.80
Tripes à la tomate ou à la provençale;;94,1;15,7;0,6;3,2;0,4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,64;1,28;1,23;-;492;-;;262;;;24.80
Blanquette de veau;;113;15,4;3,1;4;0,3;0,8;15;0,92;12;3,2;0,25;0,37;2,55;-;0,5;0,062;0,047;1,77;0,33;0,074;23,3;1,59;1,9;2,03;1,36;0,74;190;295;020;;236;;;30.40
Boeuf bourguignon;;84,6;8,93;4,17;3,3;1,57;1,25;16,9;1,75;13,3;2,91;0,5;0,6;-;-;0,8;0,07;0,1;2,3;0,3;0,23;11;0,6;1,3;0,88;1,18;0,88;230;354;02,58;;256;;;22.60
Sauté d'agneau au curry, préemballé;;-;10,5;-;13,9;-;1;17,5;2,15;13,3;2,77;-;-;-;-;-;-;-;-;-;-;-;-;-;6,7;-;1,29;20;514;-;;246;;;22.50
Canard en sauce (poivre vert, chasseur, etc.), préemballé;;145;9,55;10,2;7,3;-;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;285;;;25.30
Lapin à la moutarde, préemballé;;108;14,9;0,5;5;0,5;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,1;-;1,2;-;480;-;;278;;;39
Coq au vin;;133;13;4;7;1;0,9;14;1,3;16;0,21;0,04;0,48;-;-;1,5;0,07;0,19;3,7;0,74;0,17;31;1,4;-;1;3,87;1,05;145;420;0,11;;284;;;22
Paupiette de veau;;193;14,5;2,6;13,8;0,41;0,2;27,6;1;37,2;1,25;0,1;0,68;-;-;1,34;0,084;0,14;3,51;0,59;0,28;14,3;0,41;2,19;5,45;3,05;1,26;272;510;3,26;;30;;;23
Paupiette de volaille;;164;23,9;8,8;3,4;-;1,17;27,6;1,03;38,6;1,09;0,14;0,69;-;-;1,33;0,082;0,11;3,97;0,56;0,31;13,8;0,28;2,97;0,65;1,63;1,05;264;251;6,08;;256;;;25
Viande en sauce (aliment moyen);;104;11,3;3,65;4,6;1,34;1,08;17,1;1,13;14,2;2,4;0,23;0,81;;;1,27;0,061;0,067;2,61;0,42;0,16;14,8;0,74;1,71;1,8;1,51;0,85;198;341;6,17;;320;;;27
Poulet au curry et au lait de coco;;124;10,6;3,15;6,9;1,49;1,1;18;0,51;18;0,44;0,25;1,65;3,22;-;2,51;0,032;0,01;4,08;0,62;0,17;17,5;0,15;1,65;3,03;2,06;1,07;210;427;020;;370;;;25
Meloukhia, plat à base de boeuf et corete, fait maison;;189;10,6;1,2;14,7;1,2;4,7;51,3;2,4;30,6;2;0;5,1;-;-;1,5;0,03;0,14;1,36;0,32;0,12;20;0,66;0;-;-;0,93;228;373;2,1;;376;;;19.50
Palette à la diable, préemballée;;120;13,5;2,08;6,07;1,38;1,45;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,2;-;2,25;-;901;-;;386;;;32.20
Langue de boeuf sauce madère, préemballée;;180;9,5;4,5;13,5;2,5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;1,08;-;430;-;;378;;;18.90
Porc au caramel, préemballé;;136;10;11,4;5,4;7,9;0,7;9,9;0,49;12;1,1;0,25;0,62;1,5;-;0,5;0,19;0,034;1,93;0,31;0,094;9,1;0,27;1,3;1,44;2,2;1,34;160;536;020;;420;;;23.40
Boulettes au boeuf, à la sauce tomate, préemballées;;117;9;5,5;6,5;-;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;347;;;26.20
Paupiette de veau, préemballée,  cuite au four;;276;22;0,48;20,5;0,3;0,9;24;0,94;18;2,3;0,25;0,08;0,87;-;1,62;0,16;0,071;3,83;0,59;0,22;11,9;1,61;0,35;8,19;8,77;1,07;260;428;020;;389;;;27.10
Carpaccio de boeuf, avec marinade;;271;15,2;0,55;23;0,5;0,36;112;1,84;22,6;2,79;0,38;3,18;-;-;5,87;0,088;0,17;2,11;0,28;0,27;12;2,04;0,024;7,38;10;1,12;242;437;5,84;;326;;;29.30
Yakitori (brochettes japonaises grillées en sauce);;172;26;9,3;3,3;6,6;0,6;9,8;0,61;31;1,5;0,25;0,5;0,8;-;-;0,09;0,042;7,69;1,36;0,25;31,8;0,41;1,3;1,2;1,18;1,19;340;475;020;;356;;;60
Brochette de boeuf, cuite;;139;21,9;0,33;5,2;-;03;23;2,4;25;4,4;0,25;0,65;3,71;-;10,8;0,041;0,14;4,72;0,54;0,31;19,8;1,94;-;1,8;2,35;0,86;430;345;020;;;;;
Brochette de volaille, cuite;;137;23,1;1,39;4;-;03;13;0,61;33;1,1;0,25;0,74;2,41;-;8,49;0,071;0,07;8,91;1,71;0,47;88,3;0,7;-;1,02;1,69;0,75;520;299;020;;;;;
Hachis parmentier à la viande, préemballé;;138;5,99;9,39;8,22;1,47;1,43;59,6;0,71;17,5;1,2;0,1;0,2;-;-;0,65;0,02;0,07;-;-;0,08;5,71;0,42;-;4,7;2,75;0,83;184;322;010;;;;;
Couscous au mouton;;149;8,31;12,2;7,2;1,38;1,3;31,6;1,24;23,2;1,22;0,14;0,4;-;-;5;0,075;0,075;1,7;0,3;0,11;18;0,5;10,8;-;-;0,81;187;322;-;;;;;
Couscous à la viande ou au poulet;;90,7;5,9;11,5;1,9;2,1;2;22;0,78;17;-;0,04;0,97;-;-;7;0,07;0,07;2;0,3;0,13;18;0,04;9,4;0,4;0,75;0,7;148;30;-;;;;;
Poêlée de pommes de terre préfrites, lardons;;168;3,2;16,2;9,6;1,7;2,1;26;0,49;20;0,45;0,25;1,49;3,13;-;3,04;0,086;0,056;1,28;0,41;0,15;23,8;0,15;14,5;2,9;3,67;0,6;390;260;020;;;;;
Couscous royal (avec plusieurs viandes);;132;7,69;14;4,53;1,57;2,1;25,2;0,93;18,8;1,02;0;0,4;-;-;1,69;0,07;0,09;1,9;0,3;0,15;17,2;0,28;12,5;1,54;2,14;0,88;179;345;02,58;;;;;
Couscous à la viande;;128;7,59;12,5;4,73;1,97;2,53;25,2;-;18,8;1,02;-;-;-;-;-;-;-;-;-;-;-;-;-;1,24;1,54;0,78;179;313;02,58;;;;;
Parmentier de canard;;146;6,82;8,51;9,06;1,96;1,55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4,5;3,56;0,81;-;310;-;;;;;
Cassoulet;;129;8,06;9,41;5,77;1,06;3,55;45,7;1,23;34,8;0,88;0,5;0,18;-;-;2,94;0,083;0,057;1,25;0,16;0,091;30;0,12;7,3;2,07;2,63;0,97;289;388;010;;;;;
Choucroute garnie;;109;5,06;2,8;8,06;0,66;2,71;27,1;0,83;18;0,84;0;0,25;-;-;9,09;0,14;0,11;0,68;-;0,02;10;-;-;3,22;3,45;1,39;97,5;552;010;;;;;
Petit salé ou saucisse aux lentilles;;118;8,24;8,89;4,87;1,51;2,83;20;1,8;19,4;1,2;0,5;0,39;-;-;0,5;0,24;0,075;1,5;0,23;0,14;22,9;0,13;6,3;1,89;1,97;0,98;167;384;2,8;;;;;
Pot-au-feu;;77,5;10,9;3,2;2,02;1,5;1,5;23,5;1,69;16,2;3,48;-;-;-;-;-;-;-;-;-;-;4,6;-;1,7;0,82;0,97;0,32;189;130;010;;;;;
Boeuf aux carottes;;96,6;13,2;3,3;3,15;0,6;1,1;15,9;0,9;11,3;3,5;0;0,4;-;-;2;0,07;0,16;1,77;0,44;0,16;9,5;0,8;2,7;1,21;1,47;0,58;119;231;3,2;;;;;
Potée auvergnate;;82,1;6;3,7;4,3;0,86;2,3;30,5;1,05;14,3;0,6;0;0,5;-;-;10,5;0,18;0,09;1,23;0,31;0,16;19,9;0,2;2,84;1,57;2,11;0,84;221;356;2,4;;;;;
Cassoulet au porc;;132;8,3;8,6;6,3;1,8;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,2;-;1,1;293;50;-;;;;;
Cassoulet au canard ou oie;;161;10,5;10,1;7,86;1,09;3,86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,43;2,61;1,05;307;416;-;;;;;
Tomate farcie;;122;5,49;2;9,67;0,88;2,31;18,4;0,87;12,8;0,75;0,1;1,1;-;-;7;0,06;0,06;0,9;-;0,07;-;-;1,12;3,24;4,16;0,7;199;280;02,2;;;;;
Chou farci;;94,9;5,3;2;6,6;2;3,13;145;-;41,4;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,87;-;350;5,33;;;;;
Chili con carne;;118;7,13;13;3,35;2,58;3,56;32,8;1,6;27,3;1,2;0,5;0,88;4,6;-;2,25;0,088;0,068;1,25;0,16;0,15;44;0,35;4,6;1,13;1,39;0,93;282;371;-;;;;;
Moussaka;;147;5,82;5,16;10,8;3,01;2,84;16;0,62;22;0,47;0,2;0,46;-;-;3,1;0,06;0,11;1,3;0,33;0,09;10;0,6;0,9;3,37;3,25;0,97;576;393;1,4;;;;;
Navarin d'agneau aux légumes;;133;8,05;5;8,61;0,9;1,65;22,1;1,31;17,9;0,85;0,039;0,84;-;-;4,76;0,1;0,14;3,15;0,4;0,14;18,4;1,19;1,61;1,4;2,54;0,63;230;260;1,8;;;;;
Tajine de mouton;;132;12,8;4,5;6,83;2,4;01;5,1;1,6;14,7;3;0,5;0,71;-;-;0,5;0,07;0,16;2,95;0,23;0,19;24;1,65;2,1;2,73;3,25;0,99;211;394;1;;;;;
Osso buco;;96,7;11,2;3,5;4,08;1,1;0,6;13,7;0,6;18,4;1,26;0;0,53;-;-;2,4;0,083;0,12;3,48;0,25;0,19;11;0,38;2,3;0,8;2,62;1,47;234;586;3,24;;;;;
Poulet basquaise;;107;9,3;2,5;6,4;2;1,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,7;-;0,89;-;355;-;;;;;
Tajine de poulet;;127;7,54;14,4;3,7;6,8;3;18;0,45;17;0,46;0,25;1,27;7,32;-;0,5;0,14;0,037;2,3;0,39;0,096;30,2;0,075;2,3;0,4;2,14;1,17;220;466;020;;;;;
Chop suey;;78,2;5;7,8;3;-;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;
Légumes farcis;;69,8;6,4;3,6;3;2,59;1,4;27,1;0,56;14,1;0,63;0,088;0,55;-;-;4,86;0,1;0,13;1,24;0,46;0,11;21,2;0,18;1,01;0,46;1,73;0,69;184;277;2,58;;;;;
Moules marinières;;92;10,3;7,43;2,24;1,05;0,53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,99;0,59;0,69;-;345;-;;;;;
Moules farcies;;284;9,56;4,43;24,8;0,3;1,26;40;2,5;45;2;0,25;1,79;11,4;-;0,5;0,015;0,14;1,09;0,34;0,063;54,2;19,3;-;16,6;5,57;1,08;180;430;30;;;;;
Gratin ou cassolette de poisson;;105;6,13;8,39;5,1;2,48;0,5;58,2;0,41;13,8;0,55;-;-;-;-;-;-;-;-;-;-;-;-;-;3,18;1,25;0,82;223;328;-;;;;;
Gratin ou cassolette de poisson;;117;6,69;5,28;7,5;1,6;0,7;52;0,28;24;0,47;0,25;0,63;3,6;-;0,5;0,015;0,043;0,1;0,28;0,022;19,4;0,95;2,3;4,82;1,81;0,92;180;366;020;;;;;
Saumon à l'oseille;;133;8,36;7,43;7,65;0,58;0,73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3,19;2,33;0,69;-;277;-;;;;;
Poisson blanc à la bordelaise;;176;14,8;5,3;10,4;1,09;1;21,1;1,2;17,5;01;0,9;2,6;-;-;9,7;0,05;0,05;9,2;0,18;0,05;05;2,2;3,7;2,3;2,92;1,28;317;513;4,9;;;;;
Poisson blanc à la provençale ou niçoise;;75,2;9,31;3,1;2,3;2;2,4;16,1;01;24,2;-;0,2;1,1;-;-;-;0,05;0,07;1,2;0,25;0,05;05;1,1;-;0,42;1,14;0,7;348;280;3,8;;;;;
Poisson blanc à la florentine;;10;11,4;2,9;4,35;1,95;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,75;-;0,56;-;232;-;;;;;
Poisson blanc à la marinière;;80;11,5;2,2;2,8;-;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;
Poisson blanc à la sauce moutarde;;90,8;9,2;5,4;3,6;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;
Poisson blanc à la parisienne;;79,9;9,16;3;3,25;0,86;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,56;0,72;0,55;-;220;-;;;;;
Poisson blanc à l'estragon;;77,2;8,8;4,2;2,8;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;
Poisson blanc sauce oseille;;114;11,8;3,9;5,5;1,65;1;40;0,24;27;0,33;0,5;1,1;3,6;-;0,5;0,075;0,06;0,8;0,2;0,058;18,8;1,87;-;3,31;1,32;0,88;260;350;050;;;;;
Feuilleté au poisson;;255;6,55;26,5;13;4,3;2,9;39,4;0,4;20,4;0,42;2,5;1,38;-;-;0;0,087;0,069;2,9;0,35;0,22;016;0,77;18,3;9,7;1,82;1,02;212;406;13;feuilletes-de-poisson.jpeg;350;Pâte feuilletée moelleuse avec une garniture inoubliable;;35
Samoussa;;230;9,33;16,5;13,7;2,45;1,8;31;1,3;17,8;0,87;0,5;1,45;-;-;0,7;0,068;0,12;1,5;0,22;0,13;20;0,34;14,1;2,78;5,27;1,26;182;493;38,6;samoussa.jpeg;320;Nous vous proposons une recette inspirée de la cuisine indienne avec le curry, le gingembre;;22.40
Saumon farci;;227;18,8;0,4;16,2;0,4;2,4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3,8;-;0,65;-;-;-;;;;;
Paëlla;;148;7,86;17,1;4,9;1,2;1,85;38,7;0,69;25,4;0,68;0,5;1,3;-;-;1,95;0,073;0,45;2,6;0,42;0,12;18,8;1,1;15,1;1,28;1,08;0,87;148;343;010;;;;;
Couscous au poisson;;105;7,5;14,2;1,6;1,7;1,7;24;4,1;23;0,4;0,1;1,2;-;-;7,6;0,1;0,1;-;0,2;0,1;24;0,5;12,5;0,2;0,3;0,84;192;337;-;;;;;
