name;description;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;price;
Boisson plate aux fruits (teneur en jus non spécifiée), sucrée;;;-;0,1;11,2;0,07;10,6;0;13;0,1;4,6;0,06;0;0;-;-;4,33;0,043;0,01;0,9;traces;0,055;10;0;0;0;0;0,0018;48;0,7;0;;;;;
Boisson plate aux fruits (10 à 50% de jus), sucrée;;;-;0,13;10,1;0,06;9,76;0,041;2,5;0,1;2,4;0,1;0;0;-;-;12,8;0,01;0,01;0,04;0,04;0,04;6,2;0;0;traces;0;0,067;20,1;28;0 2,2;;;;;
Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, avec édulcorants;;;-;0,063;0,45;0,13;0,43;traces;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0,022;8,3;10;0;;;;;
Boisson gazeuse à la pomme (de 50 à 99% de fruits), non sucrée;;;-;0;7,5;0;6,5;0;2,92;0,1;1,94;0,01;0;0;-;-;0;0,01;0,006;0,01;0,02;0,01;4;0;0;0;0;0,00025;60,3;0,1;0,05;;;;;
Tonic ou bitter, sucré;;;-;0,068;8,28;0,066;7,38;0,05;7,48;0,03;2,45;0,017;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0,014;1;6,83;0 2,2;;;;;
Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, sans édulcorant;;;-;0;4,17;0;4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0,002;-;5;-;;;;;
Boisson énergisante, sucrée;;;-;0,2;11,9;0;11,7;0,1;0;0;0;0;0;1,8;-;-;40;0,21;0,52;6,08;1,76;1,05;0;0,63;0;0;0;0,11;0;46,2;0;;;;;
Boisson énergisante, non sucrée, avec édulcorants;;;-;0,073;0,95;0,1;0,45;0;-;-;-;-;-;-;-;-;-;-;0,65;8,2;2;1,64;-;-;-;0;-;0,17;-;68,3;-;;;;;
Boisson au jus de fruit et au lait;;;47,5;0,56;9,63;0,3;9,63;0 3;57,4;0,2;8,1;0,1;0,5;0,23;-;-;9;0,01;0,035;0,11;0,085;0,04;9,2;0,08;0;0,2;0,09;0,03;68,4;12;-;;;;;
Boisson lactée aromatisée (arôme inconnu), sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux (aliment moyen);;;;2,93;12,1;1,08;11,5;0,045;122;;;;0,77;;;;;;0,2;;;;;0,34;;0,68;;0,098;;38,9;;;;;;
Boisson lactée aromatisée au chocolat, sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux;;;63,8;2,75;10,8;0,99;9,45;0 1;85;0,3;17;0,44;0,64;0,042;0,2;-;0;0,041;0,17;0,15;0,44;0,027;2,6;0,21;0,1;0,7;0,26;0,095;185;38,1;1,34;;;;;
Boisson lactée aromatisée à la fraise, sucrée, au lait partiellement écrémé, enrichie à la vitamine D;;;52,6;2,17;10;0,45;10;0;76,6;0 1;9,3;0,4;0,5;0,1;-;-;0,96;0,04;0,16;0,16;0,71;0,05;0 5;0,25;0;0,3;0,11;0,14;125;56;1,9;;;;;
Lait de coco ou Crème de coco;;;188;1,77;3,4;18,4;2,1;0,57;18;3,3;46;0,56;0;0,7;-;-;1;0,022;0;0,64;0,15;0,028;14;0;-;16,5;0,88;0,075;220;30;3;;;;;
Boisson à l'amande, nature, non sucrée, non enrichie, préemballée;;;36,3;1,06;0,68;3,2;traces;0,5;12;0,1;8,3;0,11;0,25;0,96;0,8;-;0,5;0,015;0,016;0,16;0,028;0,01;0 5;-;0,3;0,31;2,05;0,051;31;20,5;0 20;;;;;
Boisson à l'amande, sucrée, enrichie en calcium, préemballée;;;44,4;0,69;3,96;2,8;3,44;0,5;54;0,35;12;0,12;0,25;0,67;0,8;-;0,5;0,015;0,012;0,11;0,02;0,01;0 5;-;0,4;0,58;1,57;0,095;32;38,1;0 20;;;;;
Boisson plate aux fruits (10 à 50% de jus), non sucrée, avec édulcorants;;;-;0,1;1,4;0,1;1,3;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0,033;-;13,3;-;;;;;
Boisson au soja, nature, non enrichie, préemballée;;;37,1;3,31;0,7;2,07;0,4;0,6;12;0,41;16;0,29;0,5;0,11;3,81;-;1;0,025;0,01;0,18;0,058;0,034;26,1;0;0,35;0,26;0,39;0,061;110;24,3;0 50;;;;;
Boisson au soja, nature, enrichie en calcium, préemballée;;;44,2;3,42;2,18;2,05;2,18;1;98;0,45;13;0,24;1,16;-;3,55;-;-;0,025;0,01;0,1;0,033;0,022;22,3;-;0,35;0,26;0,39;0,097;86;38,8;0 50;;;;;
Boisson au soja, aromatisée, sucrée, non enrichie, préemballée;;;60,5;2,96;7,24;1,92;6,72;0,6;12;0,51;18;0,3;0,5;0,11;3,53;-;0;0,025;0,01;0,1;0,068;0,021;5,4;0,014;0,35;0,3;0,38;0,12;140;48,7;0 50;;;;;
Boisson au soja, aromatisée, sucrée, enrichie en calcium, préemballée;;;42,8;3,01;2,89;1,8;2,7;1,1;53;0,4;21;0,2;0,25;0,16;2,52;-;0,5;0,015;0,055;0,12;0,11;0,064;7,31;-;0,35;0,28;0,36;0,12;137;47,9;0 20;;;;;
Boisson au riz, nature, préemballée;;;53,7;0,46;10,8;1;5,6;0,5;5;0,01;3,3;0,05;0,25;0,48;0,8;-;0,5;0,015;0,01;0,18;0,15;0,01;0 5;-;0,35;0,11;0,27;0,074;16;29,5;0 20;;;;;
Boisson à base d'avoine, nature, préemballée;;;42,6;0,46;7,8;1,1;5;0,5;1;0,02;2,3;0,05;0,25;0,37;0,8;-;0,5;0,029;0,01;0,1;0,079;0,01;6,39;-;0,35;0,2;0,37;0,066;32;26,4;0 20;;;;;
Boisson à la châtaigne, nature, préemballée;;;68,9;0,42;13,5;1,4;9,01;0,61;77;0,22;9,3;0,12;0,25;0,51;0,8;-;0,5;0,016;0,01;0,25;0,16;0,01;0 5;-;0,3;0,18;0,46;0,077;42;30,6;20;;;;;
Boisson à la noix de coco, nature, préemballée;;;31,4;0,42;2,75;2,1;2,46;0,5;2,7;0,05;2,1;0,05;0,25;0,08;0,8;-;0,5;0,015;0,01;0,1;0,007;0,01;0 5;-;0,29;1,87;0,12;0,089;14;35,6;0 20;;;;;
Boisson au soja et jus de fruits concentrés, préemballée;;;56,2;2,3;9,5;1;5,8;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,13;0,22;-;87;-;;;;;
Café, non instantané, non sucré, prêt à boire;;;6,88;0,5;1,35;0,018;traces;0,5;4,3;0,05;9,2;0,05;0,25;0,08;0,8;-;0,5;0,015;0,01;1,26;0,013;0,73;0 5;0;0,3;0,002;0,015;0,0067;150;2,7;0 20;;;;;
Thé infusé, non sucré;;;0,063;0;0;0,007;0;0;0,2;0,015;2;0,025;0;0;0;-;0;0;0,015;0,1;0,011;0;4,95;0;0;0,002;0,001;0,0041;25,5;1,65;0,05;;;;;
Tisane infusée, non sucrée;;;0,87;0;0,2;0,008;0;0;2;0,08;1;0,04;0;0;0;-;0;0,01;0,004;0;0,011;0;1;0;0;0,002;0,001;0,0025;9;1;-;;;;;
Café décaféiné, non instantané, non sucré, prêt à boire;;;4,42;0,1;0,6;0,18;0;0;2;0,09;42,5;0,035;0;0;0,1;-;0;0,001;0,18;2,71;0,015;0;1;0;0;0,047;0,015;0,02;84,5;8;-;;;;;
Café expresso, non instantané, non sucré, prêt à boire;;;7,64;0,5;1,16;0,2;traces;0,5;3,5;0,05;7,9;0,05;0,25;0,08;0,8;-;0,5;0,015;0,01;1,73;0,028;0,74;0 5;0;0,3;0,092;0,015;0,0071;150;2,82;0 20;;;;;
Café décaféiné, instantané, non sucré, prêt à boire;;;2,1;0,12;0,4;0,002;0;0;4;0,04;4;0,01;0;0;0;-;0;0;0,014;0,28;0,001;0;0;0;0;0,001;0;0,01;36;4;-;;;;;
Café, instantané, non sucré, prêt à boire;;;1,64;0,1;0,3;0,004;0;0;4;0,04;4;0,008;0;0;0;-;0;0;0,001;0,24;0,001;0;0;0;0;0,002;0;0,01;30;4;0,03;;;;;
Boisson cacaotée ou au chocolat, instantanée, sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard);;;69,3;3,78;9,5;1,42;-;1,7;97,1;0,87;27,5;0,5;0,083;0,046;-;-;0;0,037;0,16;0,15;0,34;0,03;3,2;0,085;-;0,85;0,48;0,12;239;46,2;0 10;;;;;
Boisson cacaotée ou au chocolat, instantanée, sucrée, enrichie en vitamines, prête à boire (reconstituée avec du lait demi-écrémé standard);;;71,9;4,08;9,91;1,71;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,07;-;0,99;0,38;-;-;-;-;;;;;
Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire;;;21,5;1,39;2,31;0,76;2,31;0;62,2;0,13;8,52;0,22;0,025;0,02;-;-;-;0,032;0,12;0,15;0,31;0,015;2,81;0,03;0;0,47;0,23;0,059;109;23,4;0,6;;;;;
Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard);;;53,7;3,74;5,9;1,62;5;0,46;117;0,37;13,2;0,5;0,01;0,16;-;-;-;0,054;0,18;0,93;0,35;0,025;2,6;0,26;0,6;1;0,47;0,13;162;52,2;0,9;;;;;
Thé noir, infusé, non sucré;;;1,26;0;0,3;0,007;0;0;0;0,02;3;0,02;0;0;0;-;0;0;0,014;0;0,011;0;5;0;-;0,002;0,001;0,0075;37;3;-;;;;;
Thé vert, infusé, non sucré;;;5,1;0;1,09;0;-;0;3,78;0,06;3,49;0,05;-;-;0,8;-;0,5;0,015;0,01;0,21;0,13;0,01;6,99;-;0;-;-;0,011;53,8;4,25;0 20;;;;;
Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard);;;93,5;traces;7,1;7,1;-;0,59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,13;-;50,9;-;;;;;
Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau);;;28,7;0,56;6,06;0,3;0,43;0,6;11;0,2;35;0,05;0,25;0,08;0,8;-;0,5;0,015;0,01;1,53;0,055;0,86;5,5;-;0,3;-;-;0,022;160;8,93;0 20;;;;;
Café, moulu;;;397;14,4;40,2;15,4;-;19,8;120;4,1;240;0,79;0;2,7;0;-;0;0,07;0,2;15;0,23;0,001;22;0;-;-;-;0,19;2020;74;10;;;;;
Café, poudre soluble;;;296;19,4;42,6;1,1;0;19,1;151;4,41;359;0,46;0;0;1,9;-;0;0,008;0,092;25,1;0,25;0,03;22;0;0;0,2;0,041;0,098;3770;39;10,7;;;;;
Sirop à diluer, sucré;;;255;0,5;62,6;0,5;58,8;0,5;2,7;0,06;1,2;0,05;-;-;0,8;-;0,5;0,015;0,01;0,1;0,0074;0,01;0 5;-;0;0;-;0,017;17;6,76;0 20;;;;;
"Boisson concentrée à diluer, sans sucres ajoutés, avec édulcorants, type ""sirop 0%""";;;21,7;0,5;2,76;0,5;0,66;0,7;6,6;0,04;2;0,05;-;0,08;0,8;-;0,5;0,027;0,01;0,49;0,17;0,01;0 5;-;-;-;-;0,028;57;11;0 20;;;;;
Café, décaféiné, poudre soluble;;;357;12,7;76;0,2;0;0;140;3,8;311;0,11;0;0;1,9;-;0;0;1,36;28,1;0,097;0;0;0;-;0,087;0,018;0,058;3500;23;17,3;;;;;
Thé, feuille;;;232;19,4;6,3;2;-;55,8;430;18;250;2,9;0;2,1;-;-;0;0,14;0,95;7,5;1,3;0,3;-;0;-;-;-;0,11;2160;45;-;;;;;
Cacao, non sucré, poudre soluble;;;387;22,4;11,6;20,6;0,9;29,5;140;48,5;500;6,4;2,73;0,61;3,9;-;0,5;0,076;0,12;1,15;0,82;0,01;107;0;8,5;12,4;6,65;0,11;3900;45;0 20;;;;;
Poudre cacaotée ou au chocolat pour boisson, sucrée;;;379;6,65;75,6;3,29;67,9;10,5;116;13;166;0,7;0;0,1;-;-;0;0,06;0,04;0,5;0,041;0,02;23;0;5;2,16;0,81;0,21;605;85;0 2,2;;;;;
Poudre maltée, cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines et minéraux;;;-;9,9;79,4;5,03;78,5;-;255;4,7;248;1;0,5;11,8;2,5;-;48;0,98;1,57;16,8;6,02;1,84;219;2;-;2,38;1,17;0,55;1100;219;-;;;;;
Chicorée et café, poudre soluble;;;332;9,3;66,9;0,35;-;12;103;4,76;213;0,37;0;traces;-;-;0;0;0,29;21,7;0,097;0,029;0;0;0;0,12;0,015;0,72;3400;289;-;;;;;
Chicorée, poudre soluble;;;323;3,3;57,2;2,5;21,7;29,2;109;5,5;65;0,1;0;0;-;-;0;0,04;0,12;10,1;0,05;0,28;19,1;0;0,5;0,75;0,2;0,39;-;156;0 5;;;;;
Café au lait ou cappuccino, poudre soluble;;;416;12,2;70,1;8,8;52;3,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7,47;0,69;0,79;-;316;-;;;;;
Café au lait ou cappuccino au chocolat, poudre soluble;;;402;11,2;67,1;9,13;62,2;3,51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7,83;0,81;1,29;-;516;-;;;;;
Poudre cacaotée ou au chocolat sucrée pour boisson, enrichie en vitamines et minéraux;;;376;4,68;79,3;3,04;76,7;6,48;523;2,1;113;-;-;9;-;-;49,2;0,52;0,7;8,61;1,61;0,93;122;0,25;2;1,44;-;0,43;-;169;-;;;;;
Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines;;;386;4,29;85;2,04;82,7;5,3;36;2,1;71;1,7;-;-;-;-;25;0,48;0,66;5,23;2,2;0,76;66,7;0,33;2;1,3;0,59;0,31;-;124;-;;;;;
Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés;;;19,7;0,5;1,31;0;0,91;0;6,1;0,05;3,2;0,05;-;0;-;-;5,56;0,27;0,01;0,1;0,025;0,01;6,44;-;-;0;traces;0,0035;44;1,4;0 20;;;;;
Vin doux;;;-;0,2;10,5;0;7,78;0;7,46;0,35;9,07;0,11;0;0;0;-;0;0,018;0,014;0,14;0,032;0,0078;0,1;0;0;0;0;0,027;83,1;10,9;0,07;;;;;
Pétillant de fruits;;;-;0;6,95;0;6,95;0;6;0,4;4;0,1;0;0;-;-;-;-;-;0,1;0,2;0,1;-;-;0;0;0;0,0075;30;3;-;;;;;
Vin blanc mousseux;;;-;0;1,7;0;1,4;0;9,16;0,5;5,28;0,024;0;0;0;-;0;0,005;0,01;0,07;0,03;0,017;0,1;0;0;0;0;0,0035;57;1,41;0 2,2;;;;;
Champagne;;;-;0,3;2,81;0;1,4;0;7,15;0,11;7,97;0,042;0;0;-;-;0;traces;0,01;0,1;0,045;0,02;traces;0;0;0;0;0,0048;22,8;1,93;0 10;;;;;
Vin blanc mousseux aromatisé;;;-;0,2;5,1;0;5,1;0;14;0,6;-;0;0;0;-;-;0;0;0,01;0,1;-;0,01;0;-;0;0;0;0,033;110;13;-;;;;;
Vin (aliment moyen);;;;0,09;3,29;0;1,37;0;7,52;0,58;7,25;0,088;0;0;0,27;;0,034;0,0071;0,031;0,14;0,065;0,03;0,79;0;0;0;0;0,0067;100;2,7;2,03;;;;;
Vin rouge;;;82,1;0,07;2,63;0;0,62;0;5,96;0,56;7,13;0,13;0;0;0,4;-;0;0,005;0,027;0,18;0,087;0,043;0,73;0;0;0;0;0,0025;118;1,01;0 2,2;;;;;
Vin blanc (sec);;;-;0,5;4,04;0;0,17;0;7,1;0,34;7,3;0,05;0;0;0,8;-;0,5;0,01;0,01;0,1;0,038;0,01;0 5;0;0;0;0;0,0063;84,3;2,5;0 20;;;;;
Vin rosé;;;-;0;1,6;0;-;0;12;0,95;7;0,027;0;0;0;-;0;0,01;0,07;0,1;0,04;0,023;0,2;0;-;-;-;0,01;75;4;0,2;;;;;
Bière brune;;;-;0,43;4,1;traces;4,1;0;6,91;0,02;9,55;0,17;0;0;-;-;0;0,005;0,03;0,59;0,11;0,03;8,5;-;0;traces;traces;0,029;45;11,6;traces;;;;;
"Bière ""coeur de marché"" (4-5° alcool)";;;-;0,39;2,7;0;0,98;0;6,05;0,01;7,2;0;0;0;0;-;0;0,005;0,028;0,74;0,053;0,05;5,64;0,02;0;0;0;0,0047;36,6;1,88;0 2,2;;;;;
Bière forte (>8° alcool);;;-;0,63;4,6;0;-;0;4,3;0,02;9;0,013;0;0;0;-;0;0,007;0,03;0,47;0,085;0,045;2,6;0,02;-;0;0;0,017;64,2;6,8;0,11;;;;;
Cidre (aliment moyen);;;;0,069;3,22;0,083;2,82;0;7,65;0,62;3,13;0,022;;;;;10,3;;;;;;;;;0;;0,01;99,7;4,19;3,44;;;;;
Cidre brut;;;-;0;2,62;0;2,22;0;3,24;0,84;2,92;0,022;-;-;-;-;14,1;-;-;-;-;-;-;-;-;0;-;0,01;95,8;4,12;0 2,2;;;;;
Cidre doux;;;37,5;0,5;5,09;0,6;4,61;0;17;0,1;3,5;0,05;-;-;0,8;-;0,5;0,015;0,01;0,1;0,064;0,01;0 5;-;-;0;-;0,0098;110;3,9;0 20;;;;;
Bière faiblement alcoolisée (3° alcool);;;-;0,31;4,62;0,05;0,09;0;7,08;0,007;5,97;0;0;0;0;-;0;0,005;0,021;0,74;0,043;0,05;5,64;0,02;0;0;0;0,0048;34,1;1,9;0,13;;;;;
Bière blanche;;;34,6;0,5;0,43;0,6;0,18;0;3,5;0,005;7,4;0,005;-;-;0,8;-;0,5;0,015;0,029;0,21;0,067;0,038;10,1;0,052;0;-;-;0,0073;50,2;2,9;0 20;;;;;
"Bière ""spéciale"" (5-6° alcool)";;;-;0,48;4,55;0,05;4;0;5,89;0,006;9,84;0;0;0;-;-;0;0,04;0,3;0,8;1;0,05;7,98;-;0;0;0;0,0048;48,8;1,92;0,9;;;;;
"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)";;;-;0,63;3,2;0;-;0;4,9;0,012;7,9;0,018;0;0;0;-;0;0,006;0,019;0,65;0,14;0,045;2,6;0,02;-;0;0;0,0093;41,6;3,7;0,11;;;;;
Cidre traditionnel;;;-;0;1,87;0;1,58;0;8,95;0,74;3,4;0,02;-;-;-;-;14,1;-;-;-;-;-;-;-;-;0;-;0,013;95,8;5,35;0;;;;;
Cidre bouché demi-sec;;;48;0,5;4,4;0,6;3,7;0;17;0,2;3,4;0,05;-;-;0,8;-;0,5;0,015;0,01;0,1;0,086;0,02;0 5;-;0;-;-;0,007;120;2,8;0 20;;;;;
Cidre aromatisé (framboise);;;35,4;0,5;5,34;0,6;4,96;0;16;0,1;4;0,05;-;-;0,8;-;0,5;0,015;0,01;0,1;0,078;0,015;0 5;-;-;-;-;0,008;110;3,2;0 20;;;;;
Bière sans alcool (01,2° alcool);;;25,3;0,31;4,89;0,05;2,55;0;4,75;0,011;6,2;0;0;0;-;-;-;0,0028;0,013;0,65;0,047;0,04;5;0,0089;0;0;0;0,0038;29,3;1,53;0 2,2;;;;;
Pastis;;;274;0;2,86;0;0;0;0;-;0;0,02;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;;;;
Eau de vie;;;229;0;0,37;0;0;0;0,5;0,04;0;0,019;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0,0025;1;1;0;;;;;
Gin;;;265;0;0;0;0;0;0;0,18;0;0,004;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0,005;0;2;-;;;;;
Liqueur;;;328;0,1;39,6;0,3;35,3;0;1;0,08;3;0,09;0;0;0;-;0;0,004;0,012;0,12;0;0;0;0;0;0,083;0,02;0,018;30;7,25;-;;;;;
Rhum;;;256;0;0;0;0;0;0;0,08;0;0,043;0;0;0;-;0;0,007;0,004;0,013;0;0,001;0;0;0;0;0;0,0025;2;1;-;;;;;
Whisky;;;252;0;0,096;0;0,096;0;0;0,02;0;0,014;0;0;0;-;0;0,008;0,001;0,05;0;0;0;0;0;0;0;0;1;0;-;;;;;
Apéritif à base de vin ou vermouth;;;-;0,054;11,3;0;11,1;0;7,37;0,44;7;0,035;0;0;-;-;-;traces;traces;0,045;-;0,0075;traces;0,0033;0;0;0;0,038;48;15;traces;;;;;
Vodka;;;242;0;0;0;0;0;0;0,025;0;0,022;0;0;0;-;0;0,0053;0,0063;0,013;0;0,001;0;0;0;0;0;0,0025;1,25;1;-;;;;;
Pastis, prêt à boire (1+ 5);;;27,6;0;6,89;0;0;0;-;0,039;0,82;0,013;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0063;-;1,99;0,42;;;;;
Apéritif anisé sans alcool;;;-;0;1;0;0,03;1;1,83;0;0,33;0,03;-;0;-;-;0;0;0;0;0;0;0;-;0;0;-;0,038;3,9;15;0;;;;;
Alcool pur;;;660;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;-;0;0;0;0;0;0;0;0;0;-;;;;;
Marsala;;;211;0,1;27,9;0;27,9;0;4;0,4;-;0;0;0;-;-;0;0;0,01;0,1;-;0,01;0;-;0;0;0;0,01;97;4;-;;;;;
Marsala aux oeufs;;;153;0;12,4;0;12,4;0;0;0;-;0;0;0;-;-;0;0;0;0;-;0;0;-;0;0;0;0;0;0;-;;;;;
Crème de cassis;;;245;0;41;0;40,9;0;16,6;0,62;8,44;0,12;0;0,52;-;-;5;0,015;0,015;0,11;0,15;0,03;2,96;0;0;0;0;0;128;0;0,57;;;;;
Eau de vie de vin, type armagnac, cognac;;;228;0;1;0;0;0;-;-;-;0,016;0;0;-;-;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;;;;;
Eau de vie, type calvados;;;-;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;-;0;-;;;;;
Saké ou Alcool de riz;;;133;0;5;0;0;0;5;0,1;6;0,02;0;0;0;-;0;0;0;0;-;0;0;0;-;0;0;0,005;25;2;-;;;;;
Cocktail à base de rhum;;;-;0;22,5;2,19;22,3;0,3;8;0,21;8;0,13;-;0,02;0,1;-;4,9;0,029;0,017;0,12;0,061;0,045;12;0;0;1,64;0,082;0,015;71;6;-;;;;;
Cocktail à base de whisky;;;-;0;15,9;0,02;15,8;0;46;0,08;3;0,04;-;0;0;-;0,4;0,003;0,002;0,005;0,01;0;0;0;-;0,003;0,001;0,12;4;47;-;;;;;
Sangria;;;-;0;10,3;0,05;9,5;0;9,35;0,37;10,7;0,07;0;0,14;-;-;12,1;0,023;0,022;0,18;0,11;0,055;9,11;0;0,21;0;0,013;0,0075;123;3;0,25;;;;;
Kir (au vin blanc);;;-;0,18;7,36;0;5,55;0;6,88;0,67;5,09;0,082;0;0,14;-;-;18,5;0,0068;0,019;0,12;0,082;0,03;3,97;0;0;0;0;0,0039;108;1,56;0 2,2;;;;;
Kir royal (au champagne);;;-;0,25;7,97;0;5,66;0;6,88;0,56;5,09;0,082;0;0,14;-;-;18,5;0,0027;0,015;0,12;0,067;0,026;3,77;0;0;0;0;0,0039;91,4;1,56;0 2,2;;;;;
Cocktail type punch, 16% alcool;;;-;0,6;17,8;0,6;17,8;0,5;13;0,06;3,1;0,26;-;0,08;-;-;1,2;0,021;0,01;0,16;0,053;0,02;5,08;0,077;-;0,00024;0,00024;0,042;43;16,7;0 50;;;;;
Cocktail sans alcool (à base de jus de fruits et de sirop);;;-;0,5;12,8;0;11,2;0;12,8;0,1;8,31;0,034;0;1;-;-;12;0,17;0,019;2,4;0,9;0,21;30;0,38;0;0;-;0,0075;132;2;0,36;;;;;
Panaché (limonade et bière);;;36,2;0;5,63;0;5,4;0;0,77;0,058;0,36;0,016;0;0;-;-;0,08;0,0065;0,036;0,31;0,065;0,022;3,23;0,038;0;0;0;0,0052;18,9;2,07;0 2,2;;;;;
Panaché préemballé (01° alc.);;;25,4;0,48;4,93;0,05;4,92;0;3,42;0,006;3,07;0;0;0;-;-;0,0035;0,0035;0,012;0,53;0,047;0,033;5;0,033;0;0;0;0,0034;7,47;1,37;1,1;;;;;
Édulcorant à l'aspartame, en pastilles;;;216;6,35;69,3;0;6,65;2,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0,82;-;327;-;;;;;